"br_url","Month","Minutes","Points","Rebounds","Assists","Steals","Turnovers","Blocks","First","Last","PlayerIndex","CollegeGames","CollegeMinutes","Pts36","Ast36","Reb36","Stl36","TO36","Blk36","CollegeMPG"
"troy-williams-1",12,237,60,32,9,14,16,7,"Troy","Williams",972.0000000000001,37.00000000000001,,9.113924050632912,1.3670886075949367,4.860759493670885,2.1265822784810124,2.4303797468354427,1.0632911392405062,
"ty-lawson-1",1,270,119,21,40,9,12,0,"Ty","Lawson",444.99999999999994,105,2835,15.866666666666667,5.333333333333333,2.8,1.2,1.6,0,27
"ty-lawson-1",2,230,111,21,34,7,19,0,"Ty","Lawson",444.9999999999999,105,2835,17.37391304347826,5.321739130434783,3.2869565217391306,1.0956521739130436,2.9739130434782606,0,27
"ty-lawson-1",3,31,12,2,1,0,4,0,"Ty","Lawson",444.99999999999994,105,2835,13.935483870967742,1.161290322580645,2.32258064516129,0,4.64516129032258,0,27
"ty-lawson-1",4,219,81,16,35,11,10,0,"Ty","Lawson",444.9999999999999,105.00000000000001,2835,13.315068493150685,5.7534246575342465,2.6301369863013697,1.8082191780821917,1.643835616438356,0,26.999999999999996
"ty-lawson-1",10,43,24,5,7,3,1,0,"Ty","Lawson",445,105,2835,20.093023255813954,5.86046511627907,4.186046511627907,2.511627906976744,0.8372093023255813,0,27
"ty-lawson-1",11,316,124,28,53,12,24,1,"Ty","Lawson",444.99999999999994,105.00000000000001,2835,14.126582278481012,6.037974683544304,3.189873417721519,1.3670886075949367,2.7341772151898733,0.11392405063291139,26.999999999999996
"ty-lawson-1",12,329,118,39,49,12,20,1,"Ty","Lawson",444.99999999999994,105.00000000000001,2835,12.911854103343465,5.361702127659575,4.267477203647417,1.3130699088145896,2.188449848024316,0.1094224924012158,26.999999999999996
"tyler-cavanaugh-1",1,60,15,15,1,1,2,1,"Tyler","Cavanaugh",997,137,3507.0000000000005,9,0.6,9,0.6,1.2,0.6,25.598540145985403
"tyler-cavanaugh-1",3,97,29,24,2,0,3,1,"Tyler","Cavanaugh",997,137,3507,10.762886597938143,0.7422680412371134,8.907216494845361,0,1.1134020618556701,0.3711340206185567,25.598540145985403
"tyler-cavanaugh-1",4,10,5,4,0,0,0,0,"Tyler","Cavanaugh",997,137,3507,18,0,14.4,0,0,0,25.598540145985403
"tyler-cavanaugh-1",11,109,42,23,10,1,2,1,"Tyler","Cavanaugh",997.0000000000001,137,3507,13.871559633027523,3.302752293577982,7.596330275229358,0.3302752293577982,0.6605504587155964,0.3302752293577982,25.598540145985403
"tyler-cavanaugh-1",12,245,92,61,14,7,6,1,"Tyler","Cavanaugh",997.0000000000001,137,3507,13.518367346938776,2.057142857142857,8.963265306122448,1.0285714285714285,0.8816326530612244,0.1469387755102041,25.598540145985403
"tyler-davis-1",11,1,0,1,0,0,0,0,"Tyler","Davis",1115,43,146,0,0,36,0,0,0,3.395348837209302
"tyler-dorsey-1",1,176,75,27,14,2,3,1,"Tyler","Dorsey",1006.0000000000001,75,2250,15.340909090909092,2.8636363636363638,5.5227272727272725,0.4090909090909091,0.6136363636363635,0.20454545454545456,30
"tyler-dorsey-1",2,243,81,35,24,6,7,1,"Tyler","Dorsey",1006,74.99999999999999,2250,12,3.5555555555555554,5.185185185185185,0.8888888888888888,1.037037037037037,0.14814814814814817,30.000000000000007
"tyler-dorsey-1",3,329,128,42,29,4,17,1,"Tyler","Dorsey",1006.0000000000001,75,2250,14.006079027355623,3.1732522796352582,4.595744680851063,0.4376899696048632,1.8601823708206686,0.1094224924012158,30
"tyler-dorsey-1",4,163,99,18,9,4,5,1,"Tyler","Dorsey",1006.0000000000001,75,2250,21.86503067484663,1.9877300613496933,3.9754601226993866,0.8834355828220859,1.1042944785276074,0.22085889570552147,30
"tyler-dorsey-1",10,9,0,2,0,0,1,0,"Tyler","Dorsey",1006,75,2250,0,0,8,0,4,0,30
"tyler-dorsey-1",11,38,16,4,2,0,3,0,"Tyler","Dorsey",1006,75,2250,15.157894736842104,1.894736842105263,3.789473684210526,0,2.8421052631578947,0,30
"tyler-dorsey-1",12,20,6,2,1,1,1,1,"Tyler","Dorsey",1006,75,2250,10.799999999999999,1.8,3.6,1.8,1.8,1.8,30
"tyler-ennis-1",1,7,0,0,4,0,0,0,"Tyler","Ennis",775,34,1213,0,20.57142857142857,0,0,0,0,35.6764705882353
"tyler-ennis-1",2,99,28,7,11,5,10,1,"Tyler","Ennis",775,34,1213,10.181818181818182,4,2.5454545454545454,1.8181818181818181,3.6363636363636362,0.36363636363636365,35.6764705882353
"tyler-ennis-1",3,201,55,16,36,11,18,2,"Tyler","Ennis",775.0000000000001,34,1213,9.850746268656716,6.447761194029851,2.8656716417910446,1.9701492537313432,3.2238805970149254,0.3582089552238806,35.6764705882353
"tyler-ennis-1",4,71,21,9,15,2,6,0,"Tyler","Ennis",775,34,1213,10.647887323943662,7.605633802816901,4.563380281690141,1.0140845070422535,3.0422535211267605,0,35.6764705882353
"tyler-ennis-1",10,13,2,0,3,0,3,1,"Tyler","Ennis",775,34,1213,5.538461538461538,8.307692307692308,0,0,8.307692307692308,2.769230769230769,35.6764705882353
"tyler-ennis-1",11,20,7,3,2,0,4,1,"Tyler","Ennis",775,34,1213,12.6,3.6,5.3999999999999995,0,7.2,1.8,35.6764705882353
"tyler-ennis-1",12,18,13,4,5,0,1,0,"Tyler","Ennis",775,34,1213,26,10,8,0,2,0,35.6764705882353
"tyler-hansbrough-1",1,36,15,11,3,1,0,1,"Tyler","Hansbrough",429.99999999999994,142,4387,15,3,11,1,0,1,30.8943661971831
"tyler-hansbrough-1",11,168,80,47,11,3,7,4,"Tyler","Hansbrough",430,142,4387,17.142857142857142,2.357142857142857,10.071428571428571,0.6428571428571428,1.5,0.8571428571428571,30.8943661971831
"tyler-hansbrough-1",12,306,151,80,14,13,14,3,"Tyler","Hansbrough",430,142.00000000000003,4387,17.764705882352942,1.6470588235294117,9.411764705882353,1.5294117647058825,1.6470588235294117,0.3529411764705882,30.894366197183093
"tyler-honeycutt-1",1,4,2,1,0,2,0,0,"Tyler","Honeycutt",550,59,1870,18,0,9,18,0,0,31.694915254237287
"tyler-honeycutt-1",2,1,0,0,0,0,0,0,"Tyler","Honeycutt",550,59,1870,0,0,0,0,0,0,31.694915254237287
"tyler-honeycutt-1",3,18,4,0,0,1,1,1,"Tyler","Honeycutt",550,58.99999999999999,1869.9999999999998,8,0,0,2,2,2,31.694915254237287
"tyler-honeycutt-1",4,61,12,12,7,1,1,2,"Tyler","Honeycutt",550,59,1869.9999999999998,7.081967213114754,4.131147540983607,7.081967213114754,0.5901639344262295,0.5901639344262295,1.180327868852459,31.694915254237284
"tyler-honeycutt-1",12,4,2,1,0,0,0,0,"Tyler","Honeycutt",550,59,1870,18,0,9,0,0,0,31.694915254237287
"tyler-johnson-1",1,26,6,1,3,3,1,1,"Tyler","Johnson",791,5,,8.307692307692308,4.153846153846154,1.3846153846153846,4.153846153846154,1.3846153846153846,1.3846153846153846,
"tyler-johnson-1",2,142,58,21,7,5,5,2,"Tyler","Johnson",791,5,,14.704225352112676,1.7746478873239435,5.323943661971831,1.267605633802817,1.267605633802817,0.5070422535211268,
"tyler-johnson-1",3,282,93,35,20,17,17,4,"Tyler","Johnson",790.9999999999999,5.000000000000001,,11.872340425531913,2.5531914893617023,4.468085106382978,2.1702127659574466,2.1702127659574466,0.5106382978723404,
"tyler-johnson-1",4,150,33,24,12,8,7,2,"Tyler","Johnson",791,5,,7.92,2.88,5.76,1.9200000000000002,1.6800000000000002,0.48000000000000004,
"tyler-lydon-1",11,2,0,0,0,0,0,0,"Tyler","Lydon",1038,71,2350,0,0,0,0,0,0,33.098591549295776
"tyler-ulis-1",1,93,24,10,4,2,8,0,"Tyler","Ulis",966,72,2167,9.29032258064516,1.5483870967741937,3.870967741935484,0.7741935483870969,3.0967741935483875,0,30.09722222222222
"tyler-ulis-1",2,83,34,4,25,3,5,0,"Tyler","Ulis",966,72,2167,14.746987951807228,10.843373493975905,1.7349397590361446,1.3012048192771084,2.1686746987951806,0,30.09722222222222
"tyler-ulis-1",3,526,190,45,126,22,31,3,"Tyler","Ulis",966,72,2167,13.00380228136882,8.623574144486692,3.079847908745247,1.505703422053232,2.121673003802281,0.20532319391634982,30.09722222222222
"tyler-ulis-1",4,227,124,23,41,4,17,1,"Tyler","Ulis",966.0000000000001,72,2167,19.665198237885463,6.502202643171806,3.647577092511013,0.6343612334801763,2.696035242290749,0.15859030837004406,30.09722222222222
"tyler-ulis-1",10,34,8,3,8,4,3,1,"Tyler","Ulis",966,72,2167,8.470588235294118,8.470588235294118,3.1764705882352944,4.235294117647059,3.1764705882352944,1.0588235294117647,30.09722222222222
"tyler-ulis-1",11,91,33,5,12,11,8,0,"Tyler","Ulis",966,72,2167,13.054945054945055,4.747252747252747,1.978021978021978,4.351648351648351,3.164835164835165,0,30.09722222222222
"tyler-ulis-1",12,68,31,5,10,2,5,0,"Tyler","Ulis",966,72,2167,16.41176470588235,5.294117647058823,2.6470588235294117,1.0588235294117647,2.6470588235294117,0,30.09722222222222
"tyler-zeller-1",1,479,123,109,28,7,20,24,"Tyler","Zeller",679.0000000000001,117.00000000000001,2691,9.244258872651358,2.104384133611691,8.192066805845512,0.5260960334029228,1.5031315240083507,1.803757828810021,22.999999999999996
"tyler-zeller-1",2,289,90,64,20,3,10,9,"Tyler","Zeller",679,117,2691,11.211072664359861,2.491349480968858,7.9723183391003465,0.37370242214532867,1.245674740484429,1.121107266435986,23
"tyler-zeller-1",3,316,93,79,17,7,17,11,"Tyler","Zeller",679.0000000000001,117,2691,10.59493670886076,1.9367088607594938,9,0.7974683544303798,1.9367088607594938,1.2531645569620253,23
