"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"83",1,"1 (NCAA)","2 (Nov)",4,1,3,0,5,0,0,3.66666666666667,7.631512605,3,"1st-10th","Undrafted","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: Undrafted
Size: 3
Avg. Game Score: 7.63"
"84",1,"1 (NCAA)","2 (Nov)",5,2,1,30,4,0,0,0.6,5.4,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.4"
"85",1,"1 (NCAA)","2 (Nov)",5,2,1,646,28,0,0,6.95,11.11304348,2,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 11.11"
"86",1,"1 (NCAA)","2 (Nov)",5,2,1,748,32,0,0,3.45,8.057142855,2,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.06"
"87",1,"1 (NCAA)","2 (Nov)",5,2,1,838,32,0,0,4.6,10.35,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 10.35"
"88",1,"1 (NCAA)","2 (Nov)",5,2,1,846,34,0,0,2.7,6.075,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6.08"
"89",1,"1 (NCAA)","2 (Nov)",5,2,1,889,31,0,0,5.9,7.339764706,3,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 7.34"
"90",1,"1 (NCAA)","2 (Nov)",5,2,1,890,31,0,0,2.2,11.31428571,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 11.31"
"91",1,"1 (NCAA)","2 (Nov)",5,2,1,895,31,0,0,1.2,3.6,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 3.6"
"92",1,"1 (NCAA)","2 (Nov)",5,2,1,906,30,0,0,2.46666666666667,6.59166666666667,3,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 6.59"
"93",1,"1 (NCAA)","2 (Nov)",5,2,1,917,31,0,0,0.8,7.2,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 7.2"
"94",1,"1 (NCAA)","2 (Nov)",5,2,1,938,34,0,0,2.875,6.01951041275,4,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 4
Avg. Game Score: 6.02"
"95",1,"1 (NCAA)","2 (Nov)",5,2,1,961,31,0,0,4.1,5.097235023,2,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 5.1"
"96",1,"1 (NCAA)","2 (Nov)",5,2,1,965,29,0,0,8.2,8.069856461,2,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.07"
"97",1,"1 (NCAA)","2 (Nov)",5,2,1,965,34,0,0,5.1,10.2,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 10.2"
"98",1,"1 (NCAA)","2 (Nov)",5,2,1,986,33,0,0,7.1,7.745454545,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 7.75"
"99",1,"1 (NCAA)","2 (Nov)",5,2,1,1001,32,0,0,1,6,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6"
"100",1,"1 (NCAA)","2 (Nov)",5,2,1,1013,34,0,0,0.2,3.6,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 3.6"
"101",1,"1 (NCAA)","2 (Nov)",5,2,1,1016,31,0,0,3.1,5.314285714,1,"11th-20th","1st round","Time: 2 (Nov)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.31"
